500,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000
56,56,A7,B2,B2,B2,CF,D2,E1,DB,B6,BA,B0,B0
56,56,A7,B2,B2,B2,CF,D2,E1,DB,B6,BA,B0,B0
56,56,A7,B2,B2,B2,CF,D2,E1,DB,B6,BA,B0,B0
56,64,96,AE,AF,B3,CB,D2,DC,D7,B6,BA,B0,B0
68,6E,8C,9F,A4,A6,B7,BE,C4,C4,BB,BA,B0,B0
60,65,82,94,99,9B,AB,B4,B9,BB,B1,B7,B0,B0
50,5F,7D,87,92,95,A5,AC,B1,B6,A9,AC,A5,A6
40,4B,75,84,8B,8F,9E,A6,AE,AC,9F,A3,A0,A1
38,42,6F,83,89,8C,95,9C,A5,A2,9A,A0,9B,9B
30,35,60,7F,87,89,92,96,9D,9E,95,9B,98,99
23,2E,51,6B,84,85,8E,8D,91,9A,92,98,94,96
20,20,3F,52,5E,78,7F,7F,8F,98,8F,94,95,90
20,20,3F,52,5E,6A,7F,7F,81,93,89,90,90,90
20,20,3F,52,5E,6A,7F,7F,81,8E,89,90,90,90
20,20,3F,52,5E,6A,7F,7F,81,8E,89,90,90,90
20,20,3F,52,5E,6A,7F,7F,81,8E,89,90,90,90
